Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal (Y/N),Time,Species,Investigator or Source
2015.05.29.b,29-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Standing,F,14,Left foot bitten,N,15h00,,"Orlando Sentinel, 5/29/2015"
2015.05.29.a,29-May-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,F,19,Minor lacerations to dorsum of right foot,N,13h45,,"ClickOrlando, 5/29/2015"
2015.05.24,24-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,,,"WFTV,  5/27/2015"
2015.05.20,20-May-15,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,10h30,5' shark,"WFTV, 5/20/2015"
2015.05.15,15-May-15,2015,Unprovoked,USA,South Carolina,Sullivan's Island,,M,30,Laceration to foot ,N,14h15,6' shark,"News 2, 5/15/2015"
2015.05.07,07-May-15,2015,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M,,"Lacerations to lower left leg, ankle & foot",N,15h00,,"KnightNews.com, 5/9/2015"
2015.05.03,03-May-15,2015,Unprovoked,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,,Injuries to left arm & right hand,N,15h00,White shark,"ABC, 5/3/2015"
2015.05.02,02-May-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,29,"Injuries to leg, left arm & both hands",N,13h00,"White shark, 3.5 m","DispatchLive, 5/4/2015"
2015.04.29,29-Apr-15,2015,Unprovoked,USA,Hawaii,Kanahena Cove ,Snorkeling,F,65,FATAL,Y,09h00,,"Star Advertiser, 4/30/2015"
2015.04.26,26-Apr-15,2015,Unprovoked,USA,Florida,"Resident's Beach, Marco Island",Wading,M,63,Lacerations to left calf,N,16h30,3- to 4-foot shark,"ABC-7, 4/27/2015"
2015.04.25,25-Apr-15,2015,Unprovoked,AUSTRALIA,South Australia,Fishery Bay,Surfing,M,26,Leg severed at mid-thigh,N,09h45,"White shark, 6 m","The Advertiser, 4/25/2015"
2015.04.24.c,24-Jun-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Belongil Beach, Byron Bay",Surf skiing ,M,71,"No injury, knocked off ski",N,11h00,"White shark, 3 m","Echo Daily, 6/25/2015"
2015.04.13,13-Apr-15,2015,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,Lacerations to shoulder and left bicep,N,,"Blue shark, 8 to 9 feet","Miami Herald, 4/25/2015"
2015.04.11,11-Apr-15,2015,Unprovoked,AUSTRALIA,New South Wales,McKenzies Beach,Paddle boarding,M,,Ankle injured,N,07h30,,"Surf Life Saving, 4/11/2015"
2015.04.03,03-Apr-15,2015,Unprovoked,USA,Florida,"3 miles off Jupiter, Palm Beach County",Spearfishing,M,70,Injuries to head & torso,N,Afternoon,Bull shark,"ABC Action News, 4/6/2015"
2015.03.26,26-Mar-15,2015,Boat,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Kayak Fishing,M,36,No injury but kayak bitten,N,,"White shark, 4 m","Times Live, 4/1/2015"
2015.03.18,18-Mar-15,2015,Unprovoked,USA,Hawaii,Hapuna Beach,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"Tiger shark, 8 to 12 feet","KMBC, 3/19/2015"
2015.03.11,11-Mar-15,2015,Boat,AUSTRALIA,New South Wales,"Julian Rocks, Byron Bay",Fishing,M,,Bruised in falling overboard as shark bumped boat,N,Morning,,"Northern Star, 3/13/2015"
2015.02.09,09-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,Surfing,M,41,FATAL,Y,10h00,3.5 to 4 m shark,"The Telegraph, 2/9/2015"
2015.02.08,08-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Byron Bay",Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,06h45,2 m to  3 m shark,"The Telegraph, 2/8/2015"
2015.02.05,05-Feb-15,2015,Unprovoked,AUSTRALIA,New South Wales,Mereweather Beach,Bodysurfing,M,,5 minor puncture wounds to lower left leg,N,,1.8 m shark,"The Telegraph, 1/6/2015"
2015.01.30,30-Jan-15,2015,Boat,AUSTRALIA,Queensland,"Nerang River, Surfer's  Paradise",Rowing,M,57,"No injury, shark's teeth scratched hull",N,05h00,"Bull shark, 1.3 m","Gold Coast Bulletin, 1/31/2015"
2015.01.27,27-Jan-15,2015,Provoked,USA,Hawaii,Lahaina,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,03h30,4' shark,"Huffington Post, 1/28/2015"
2015.01.24,24-Jan-15,2015,Unprovoked,AUSTRALIA,New South Wales,Flat Rock,Surfing,M,,"No injury, surfboard dented",N,,,"Northern Star, 1/26/2015"
2015.01.19.b,19-Jan-15,2015,Boat,USA,Florida,Off Panama City,Fishing,M,,No injury but shark bit trolling motor & rammed boat,N,,White shark,"The Panhandle, 1/20/2015"
2015.01.19.a,19-Jan-15,2015,Invalid,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing & filming dolphins,F,,Board snapped in two,N,,Shark involvement not confirmed,"ABC North Coast, 1/21/2015"
2015.01.17,17-Jan-15,2015,Boat,AUSTRALIA,New South Wales,Off Blacksmith Beach,Fishing,M,,"Shark bumped boat, no injury to occupants",N,13h45,5 m shark,"The Sydney Morning Herald, 1/18/2015"
2015.01.16,16-Jan-15,2015,Unprovoked,AUSTRALIA,New South Wales,"Mollymook Beach, Bannister Head",Filming,M,17,Bitten on hand & wrist,N,,1.5 m shark,"Milton-Ulladulla Times, 1/16/2015"
2015.01.08,08-Jan-15,2015,Invalid,USA,Florida,,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N,Night,No shark involvement,"UPI, 1/12/2015"
2015.01.03,03-Jan-15,2015,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Chintsa East Beach,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"Raggedtooth shark, 1.3 m","Dispatch Online, 1/7/2015"
2015.01.01,01-Jan-15,2015,Unprovoked,USA,Florida,"Windsor Beach, Indian River County",,M,12,Leg bitten,N,Afternoon,"""A small shark""","WPTV-West Palm Beach, 1/2/2015"
2014.12.29.b,29-Dec-14,2014,Unprovoked,AUSTRALIA,New South Wales,Bherwerre Beach,Surfing,,,Lacerations to both feet,N,Morning,2 m shark,"South Coast Register, 12/29/2014"
2014.12.29.a,29-Dec-14,2014,Unprovoked,AUSTRALIA,Western Australia,Three Stripes near Cheynes Beach,Spearfishing,M,17,FATAL,Y,Morning,"White shark, 4 to 5 m","The West Australian, 12/29/2014"
2014.12.28.c,28-Dec-14,2014,Invalid,SOUTH AFRICA,KwaZulu-Natal,Durban,Swimming,,,Minor cuts on feet,N,Morning,Shark involvement not confirmed & highly unlikely,"IOL News, 12/29/2014"
2014.12.28.b,28-Dec-14,2014,Unprovoked,USA,California,"Monta�a de Oro State Park, San Luis Obispo County ",Surfing,M,50,Injury to hip/leg,N,11h30,"White shark, 8' to 10'","R. Collier, GSAF"
2014.12.15,15-Dec-14,2014,Unprovoked,AUSTRALIA,Queensland,Rudder Reef,Spearfishing,M,17,FATAL,Y,11h30,,"Herald Sun, 12/15/2014"
2014.11.29,29-Nov-14,2014,Unprovoked,AUSTRALIA,Western Australia,"Pyramids Beach, Port Bouvard",Surfing,M,13,Minor injuries to right leg,N,Sometime between 06h00 & 08hoo,,"The Sydney Morning Herald, 11/29/2014"
2014.11.19,19-Nov-14,2014,Boat,AUSTRALIA,Western Australia,Freo,Fishing,M,,"Shark chasing fish bumped boat, no injury to occupants",N,,White shark,"The West Australian, 11/20/2014"
2014.11.16,16-Nov-14,2014,Unprovoked,USA,Florida,"Indian Harbor Beach, Brevard County",Surfing,M,44,Laceration to left hand,N,13h00,2' shark,"USA Today, 11/16/2014"
2014.11.17,Reported 17-Nov-2014,2014,Boat,USA,California,"Franklin Point, San Mateo County",,,,"Shark bumped boat, no injury to occupants",N,,White shark,"Inquisitr, 11/17/2014"
2014.11.13,13-Nov-14,2014,Unprovoked,USA,Hawaii,"Airplane Beach, Lahina, West Maui",Snorkeling,M,53,Laceration to left upper leg,N,13h30,1.5 m shark,"G. Kubota, Star Advertiser, 11/13/2014"
2014.11.10,10-Nov-14,2014,Unprovoked,AUSTRALIA,New South Wales,Moonee Beach,Surfing,M,,Minor injury to lower leg and foot,N,06h30,,"Norhern Rivers Echo, 11/10/2014"
2014.11.08,08-Nov-14,2014,Unprovoked,USA,Florida,"Fort Pierce Inlet State Park, St. Lucie County",Surfing,M,18,Minor injuries to hand & arm ,N,16h30,,WPTV.com
2014.10.31,31-Oct-14,2014,Unprovoked,USA,Hawaii,"North Kohala, Hawaii County",Surfing,F,34,Lacerations to fingers,N,11h00,"Tiger shark, 12'","L. Kubota, Hawaii News Now, 10/31/2014"
2014.10.30,29-Oct-14,2014,Provoked,AUSTRALIA,New South Wales,Wallabi Point,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,18h00,,"The Sydney Morning Herald, 10/30/2014"
2014.10.22,22-Oct-14,2014,Unprovoked,USA,Hawaii,"Kihei, Maui",Stand-Up Paddleboarding,F,,"No injury, paddleboard bitten",N,10h00,Tiger shark,"Hawaii News Now, 10/22/2014"
2014.10.20,20-Oct-14,2014,Unprovoked,USA,Hawaii,"Kahului, Maui",Stand-Up Paddleboarding,M,,"No injury, paddleboard bitten",N,08h00,,"The Maui News, 10/21/2014"
2014.10.19,19-Oct-14,2014,Boat,USA,California,"Leadbetter Beach, Santa Barbara County",Canoeing,F,,"No injury to occupant, canoe bitten",N,,,"R. Collier, GSAF"
2014.10.18,18-Oct-14,2014,Unprovoked,USA,Hawaii,"Maalaea, South Maui",Surfing,M,,"No injury, surfboard bitten",N,11h15,12' to 14' shark,"Star Advertiser, 10/18/2014"
2014.10.17,17-Oct-14,2014,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 m shark,"Sydney Morning Herald, 10/17/2014"
2014.10.14,14-Oct-14,2014,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",Standing in inner tube,F,7,Lacerations to left foot,N,,"Bull shark, 3' to 4'","TheIndyChannel, 10/16,2014"
2014.10.12,12-Oct-14,2014,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Body surfing or Boogie boarding,F,,Laceration to right hand/wrist,N,15h30,,"Florida Today, 10/13/2014"
2014.10.07,07-Oct-14,2014,Unprovoked,USA,Florida,"Cherie Down Park, Brevard County",Fishing,F,40,Thigh bitten,N,Afternoon,,"Click Orlando, 10/7/2014"
2014.10.11,11-Oct-14,2014,Boat,AUSTRALIA,Western Australia,"Castle Rock, north of Dunsborough",Kayaking,M,,"Kayak deflated, no injury to occupants",N,17h20,,"Perth Now, 10/11/2014"
2014.10.05.b,05-Oct-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,29,Foot bitten,N,11h30,Blacktip shark,"WESH2, 10/6/2014"
2014.10.05.a,05-Oct-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,15,Foot bitten,N,11h00,Blacktip shark,"WESH2, 10/6/2014"
2014.10.03.b,03-Oct-14,2014,Boat,USA,California,Santa Barbara County,Kayaking,M,,"No injury to occupant, shark/s holded  kayak",N,14h00,"White shark, 18' to 20'","R. Collier, GSAF"
2014.10.03.a,03-Oct-14,2014,Boat,USA,California,Santa Barbara County,Kayaking ,M,,"No injury to occupant, shark/s holded  kayak",N,11h30,White shark,"R. Collier, GSAF"
2014.10.02.b,02-Oct-14,2014,Unprovoked,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Surfing,M,28,Lacerations to knee,N,17h30,8' to 10' shark,"R. Collier, GSAF"
2014.10.02.a,02-Oct-14,2014,Unprovoked,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 white shark: 13' & 9""8""","9News, 2/15/2015"
2014.09.21,21-Sep-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,Minor injury to left foot,N,11h30,,"NBC2 News, 9/21/2014"
2014.09.13,13-Sep-14,2014,Invalid,USA,California,"Manresa State Beach, Santa Cruz County",Surfing,M,,"A hoax, no shark involvement",N,18h45,No shark involvement,"R. Collier, GSAF"
2014.09.09,09-Sep-14,2014,Unprovoked,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",Swimming,M,50,FATAL,Y,10h45,7' shark,"BBC, 9/9/2014"
2014.09.02,02-Sep-14,2014,Provoked,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,20h00,3' to 4' shark,"WPBF.com, 9/2/2014"
2014.08.31,31-Aug-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,F,13,Injury to left calf,N,16h40,Spinner shark,"Sun Sentinel, 8/31/2014"
2014.08.29.b,29-Aug-14,2014,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,Lacerations to shin,N,,Spinner shark or blacktip shark,"Click Orlando, 9/12/2014"
2014.08.29.a,29-Aug-14,2014,Invalid,USA,Florida,"Atlantic Beach, Duval County",,,,Shark involvement not confirmed,N,16h18,Shark involvement not confirmed,"Orlando Sentinel, 8/31/2014"
2014.08.27.a,27-Aug-14,2014,Unprovoked,USA,South Carolina,"Surfside Beach, Horry  County",Standing,F,,Heel bitten,N,15h00,,"C. Creswell, GSAF"
2014.08.25,Reported 25-Aug-2014,2014,Provoked,USA,Florida,Apalachicola Bay ,Fishing for sharks,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,,"Bull shark, 4.5' ","Nooga.com, 8/25/2014"
2014.08.16,16-Aug-14,2014,Unprovoked,AUSTRALIA,Western Australia,Gnaraloo,Spearfishing,M,31,Lacerations to face and neck,N,,reef shark,"Herald Sun, 8/21/2014"
2014.08.12,12-Aug-14,2014,Unprovoked,USA,Florida,"3 to 4 miles west of Indian Pass, Gulf County",Standing,M,,Puncture wounds and lacerations to left thigh and knee,N,11h10," Bull shark, 8'","K. Hayes / Brewton Standard, 8/19/2014"
2014.08.10,10-Aug-14,2014,Unprovoked,USA,Florida,"Hallandale Beach, Broward County",,M,26,Puncture wounds & lacerations to foot,N,,,"CBS Miami, 8/11/1014"
2014.08.09,09-Aug-14,2014,Unprovoked,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",Swimming,F,10,Puncture wounds to right foot & ankle,N,13h30,,"Florida Today, 8/9/2014"
2014.08.06,06-Aug-14,2014,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Boogie boarding,M,10,Lacerations to right leg & foot,N,14h00,4' tp 5' shark,"C. Creswell, GSAF;        WCSC. 8/6/2014"
2014.08.05,05-Aug-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,F,45,Lacerations to  foot,N,,,"Inquisitr, 8/7/2014"
2014.08.02,02-Aug-14,2014,Unprovoked,USA,Florida,"South of Cocoa Beach, Brevard County",Surfing,M,50s,Foot bitten,N,,,"Florida Today, 8/8/2014"
2014.08.02,02-Aug-14,2014,Unprovoked,USA,Florida,"Table Beach, Brevard County",Boogie boarding,M,8,Laceration to ankle,N,13h00,,"Florida Today, 8/2/2014"
2014.08.01,01-Aug-14,2014,Unprovoked,SOUTH AFRICA,Western Cape Province,Muizenberg,Surfing,M,20,Lower limbs & thigh bitten,N,14h00,White shark,"NSRI, 8/1/2014"
2014.07.21,21-Jul-14,2014,Unprovoked,USA,Florida,"Indialantic, Brevard County",Standing,M,8,Lacerations to right knee,N,Early afternoon,,"ClickOrlando, 7/22/2014"
2014.07.16,16-Jul-14,2014,Unprovoked,USA,Hawaii,"Paia Bay, Maui",Swimming,M,61,Lacerations to left foot,N,17h50,6' to 8' shark,"Maui Now, 7/16/2014"
2014.07.14,14-Jul-14,2014,Unprovoked,USA,Florida,Okaloosa Island,Swimming,M,39,Puncture wounds to foot,N,14h30,4' shark,"W. Victora, Daily News, 7/15/2014"
2014.07.09,09-Jul-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Lacerations to foot,N,14h00,,"WESH.com, 7/9/2014"
2014.07.05.b,05-Jul-14,2014,Provoked,USA,California,"Manhattan Beach, Los Angeles County",Swimming,M,,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N,09h30," White shark, 7' ","R. Collier, GSAF /                   M Michaelson, SRI "
2014.07.05.a,05-Jul-14,2014,Unprovoked,USA,California,"Oceano Dunes State Beach, San Luis Obispo County",Surfing,M,,"No injury, surboard bitten",N,07h00 - 08h00,,"R. Collier, GSAF"
2014.07.03,03-Jul-14,2014,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Body surfing,M,19,Right hand bitten,N,18h15-18h30,4' to 5' shark,"C. Creswell, GSAF Live5News, 7/3/2014"
2014.06.18.b,18-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Surfing,M,,"No injury, surfboard 'attacked'",N,17h01,,"The Times, 6/19/2014"
2014.06.18.a,18-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Middleton Point, Fleurieu Peninsula",Body boarding,M,15,Lacerations to knee,N,17h00,,"The Advertiser, 6/19/2014"
2014.06.17.R,Reported 17-Jun-2014,2014,Provoked,AUSTRALIA,Western Australia,Horizontal Falls,Petting a shark,M,,Lacerations to right hand by captive shark PROVOKED INCIDENT,N,," Lemon shark, 3.5 m","Meribula News, 6/17/2014"
2014.06.09.a,09-Jun-14,2014,Unprovoked,AUSTRALIA,South Australia,"Parsons Beach,  Fleurieu Peninsula",Body boarding,M,39,Minor injury to torso,N,09h45,"Bronze whaler shark, 1.5m","The Australian, 6/9/2014"
2014.06.01.c,01-Jun-14,2014,Unprovoked,USA,Florida,Fort Lauderdale,Swimming,F,22,Laceration to right lower leg,N,13h30,Bull shark,"Local10.com, 6/1/2014"
2014.06.01.b,01-Jun-14,2014,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,M,,Lacerations & puncture wounds to ankle and foot,N,Morning,,"Newcastle Herald, 6/3/2014"
2014.05.27.R,24-May-14,2014,Unprovoked,AUSTRALIA,Queensland,Nerang River near Chevron Island,Fell into the water,F,29,Lacerations to legs,N,," Bull shark, 1.2m ","Gold Coast Bulletin, 4/27/2014"
2014.05.22,22-May-14,2014,Provoked,AUSTRALIA,New South Wales,The Australian Shark and Ray Centre,Teasing a shark,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N,," Tawney nurse shark, 1m","Newcastle Herald, 5/22/2014"
2014.05.15,15-May-14,2014,Unprovoked,USA,Florida,"Juan Ponce de Le�n Landing, Melbourne Beach, Brevard County",Body boarding,F,38,Calf bitten,N,11h30,,"M. Michaelson, Shark Research Institute"
2014.05.14,14-May-14,2014,Unprovoked,AUSTRALIA,South Australia,"Elliston, Eyre Peninsula",Surfing,M,35,"No injury, but surfboard severely damaged",N,09h30," white shark, 15' ","N. Davies, The Advertiser, 5/114/2014"
2014.05.13,13-May-14,2014,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Wading,F,44,Lacerations and puncture wounds to right foot,N,11h00,,"M. Michaelson, Shark Research Institute"
2014.05.10.R,Reported 10-May-2014,2014,Invalid,USA,Florida,"Bethel Shoals, Indian River County",Diving,M,,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",N,,No shark involvement,"Metro, 5/10/2014"
2014.05.06,06-May-14,2014,Unprovoked,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,F,40,Lacerations to left foot,N,15h00,4' to 5' shark,"The Island Packet, 5/7/2014"
2014.05.01,01-May-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,23,Laceration to right hand and cuts on fingertips,N,15h00,3' shark,"Wesh.com, 5/2/2014"
2014.04.24,24-Apr-14,2014,Unprovoked,AUSTRALIA,Western Australia,"South Passage, south of Coral Bay",Spearfishing,M,,Minor injury,N,,reef shark?,"9 News, 4/24/2014"
2014.04.22,22-Apr-14,2014,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Swimming,M ,42,Laceration & puncture wounds to right foot,N,15h30,,"R. Neale, Florida Today, 4/22/2014"
2014.04.15,15-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,25,Minor lacerations to left foot,N,09h57,,"Daytona Beach News-Journal, 4/15/2014"
2014.04.12,12-Apr-14,2014,Provoked,SOUTH AFRICA,Eastern Cape Province,Port Alfred,Fishing,M,,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N,Morning," Raggedtooth shark, 2m","The Citizen, 4/12/2014"
2014.04.04.b,04-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Minor puncture wounds to lower left leg,N,13h50,,"News 13, 4/4/2014"
2014.04.04.a,04-Apr-14,2014,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,teen,Lacerations to foot,N,13h30,,"News 13, 4/4/2014"
2014.04.03,03-Apr-14,2014,Unprovoked,AUSTRALIA,New South Wales,Tathra,Swimming,F,63,FATAL,Y,08h20,3 m to 4 m white shark,"B. Myatt, GSAF"
2014.03.29,29-Mar-14,2014,Invalid,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,M,38,Shark bites may have been post mortem,Y,13h30,,"The West Australian, 4/2/2014"
2014.03.22.b,22-Mar-14,2014,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St Johns",Swimming,M,66,FATAL,Y,15h00,2 m shark,"Austrian Independent, 3/24/2014"
2014.03.22.a,22-Mar-14,2014,Unprovoked,USA,Florida,Delray Beach,Kite Surfing,M,,Lacerations to left forearm,N,,4' to 5' shark,"TC Palm, 3/23/2014"
2014.03.21,21-Mar-14,2014,Unprovoked,USA,Florida,Macarthur State Park,Surfing,M,9,Lacerations to toes and heel of right foot,N,,,"E. Guy, WPBF, 3/26/2014"
2014.03.18,18-Mar-14,2014,Invalid,AUSTRALIA,New South Wales,Lennox Head,,F,10,"Injuries to wrist/hand by a mackerel, not a shark",N,17h00,No shark involvement,"Brisbane Times, 3/18/2014"
2014.03.12,12-Mar-14,2014,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Swimming,M,,Minor lacerations to foot,N,18h00,Wobbegong shark,"N. Keene, The Daily Telegraph, 3/13/2014"
2014.03.02,02-Mar-14,2014,Unprovoked,USA,Florida,"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",Surfing,M,21,Lacerations to toes,N,,Blacktip or spinner shark?,"L.Gordon, CBS 12, 3/3/2014"
2014.02.08,08-Feb-14,2014,Unprovoked,AUSTRALIA,South Australia,"Goldsmith Beach, Yorke Peninsula",Spearfishing / Free diving,M,28,FATAL,Y,12h00,,"The Advertiser, 2/9/2014"
2014.01.26,26-Jan-14,2014,Provoked,AUSTRALIA,New South Wales,Umina Beach,Fishing,M,,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N,,1m shark,"Daily Telegraph, 1/29/2014"
2013.12.16,16-Dec-13,2013,Unprovoked,SOUTH AFRICA,Western Cape Province,Die Platt,Surfing,M,19,Injuries to left thigh,N,08h45,"White shark, 3m ","Cape Argus, 12/16/2013"
